id-DBW,id-BDL,wojewodztwo kod,nazwa-GUS,nazwa-PKW,kod-TERYT,wojewodztwo,powiat-wojewodztwo
35070,30210101000,302,Powiat bolesławiecki,bolesławiecki,20100,dolnośląskie,"powiat bolesławiecki, dolnośląskie"
35209,30210302000,302,Powiat dzierżoniowski,dzierżoniowski,20200,dolnośląskie,"powiat dzierżoniowski, dolnośląskie"
35159,30210203000,302,Powiat głogowski,głogowski,20300,dolnośląskie,"powiat głogowski, dolnośląskie"
35166,30210204000,302,Powiat górowski,górowski,20400,dolnośląskie,"powiat górowski, dolnośląskie"
35079,30210105000,302,Powiat jaworski,jaworski,20500,dolnośląskie,"powiat jaworski, dolnośląskie"
46493,30210106000,302,Powiat karkonoski,karkonoski,20600,dolnośląskie,"powiat karkonoski, dolnośląskie"
35098,30210107000,302,Powiat kamiennogórski,kamiennogórski,20700,dolnośląskie,"powiat kamiennogórski, dolnośląskie"
35221,30210308000,302,Powiat kłodzki,kłodzki,20800,dolnośląskie,"powiat kłodzki, dolnośląskie"
35175,30210209000,302,Powiat legnicki,legnicki,20900,dolnośląskie,"powiat legnicki, dolnośląskie"
35105,30210110000,302,Powiat lubański,lubański,21000,dolnośląskie,"powiat lubański, dolnośląskie"
35186,30210211000,302,Powiat lubiński,lubiński,21100,dolnośląskie,"powiat lubiński, dolnośląskie"
35117,30210112000,302,Powiat lwówecki,lwówecki,21200,dolnośląskie,"powiat lwówecki, dolnośląskie"
35295,30210413000,302,Powiat milicki,milicki,21300,dolnośląskie,"powiat milicki, dolnośląskie"
35301,30210414000,302,Powiat oleśnicki,oleśnicki,21400,dolnośląskie,"powiat oleśnicki, dolnośląskie"
35318,30210415000,302,Powiat oławski,oławski,21500,dolnośląskie,"powiat oławski, dolnośląskie"
35193,30210216000,302,Powiat polkowicki,polkowicki,21600,dolnośląskie,"powiat polkowicki, dolnośląskie"
35325,30210417000,302,Powiat strzeliński,strzeliński,21700,dolnośląskie,"powiat strzeliński, dolnośląskie"
35335,30210418000,302,Powiat średzki,średzki,21800,dolnośląskie,"powiat średzki, dolnośląskie"
35248,30210319000,302,Powiat świdnicki,świdnicki,21900,dolnośląskie,"powiat świdnicki, dolnośląskie"
35343,30210420000,302,Powiat trzebnicki,trzebnicki,22000,dolnośląskie,"powiat trzebnicki, dolnośląskie"
