"","wojewodztwo","rok","frekwencja","ludność w tysiącach [tys. osób]","ludność wg grup wieku i płci; 0-14;ogółem;[osoba]","ludność wg grup wieku i płci; 0-4;ogółem;[osoba]","ludność wg grup wieku i płci; 10-14;ogółem;[osoba]","ludność wg grup wieku i płci; 15-19;ogółem;[osoba]","ludność wg grup wieku i płci; 20-24;ogółem;[osoba]","ludność wg grup wieku i płci; 25-29;ogółem;[osoba]","ludność wg grup wieku i płci; 30-34;ogółem;[osoba]","ludność wg grup wieku i płci; 35-39;ogółem;[osoba]","ludność wg grup wieku i płci; 40-44;ogółem;[osoba]","ludność wg grup wieku i płci; 45-49;ogółem;[osoba]","ludność wg grup wieku i płci; 50-54;ogółem;[osoba]","ludność wg grup wieku i płci; 55-59;ogółem;[osoba]","ludność wg grup wieku i płci; 5-9;ogółem;[osoba]","ludność wg grup wieku i płci; 60-64;ogółem;[osoba]","ludność wg grup wieku i płci; 65-69;ogółem;[osoba]","ludność wg grup wieku i płci; 70 i więcej;ogółem;[osoba]","ludność wg grup wieku i płci; 70-74;ogółem;[osoba]","ludność wg grup wieku i płci; 75-79;ogółem;[osoba]","ludność wg grup wieku i płci; 80-84;ogółem;[osoba]","ludność wg grup wieku i płci; 85 i więcej;ogółem;[osoba]","produkt krajowy brutto na 1 mieszkańca [zł]","przeciętne dalsze trwanie życia; kobiety [lata]","przeciętne dalsze trwanie życia; mężczyźni [lata]","Studenci uczelni na 10 tys. ludności; ogółem [osoba]","Studenci uczelni na 10 tys. ludności; w wieku 19-24 lata [osoba]","udział ludności w wieku poprodukcyjnym [%]","udział ludności w wieku produkcyjnym [%]","udział ludności w wieku przedprodukcyjnym [%]","współczynnik feminizacji ogółem [osoba]","współczynnik obciążenia demograficznego osobami starszymi [osoba]","współczynnik skolaryzacji brutto; szkoły podstawowe [%]","współczynnik skolaryzacji brutto; szkoły policealne, w tym kolegia (wiek 19-21 lat) [%]","współczynnik skolaryzacji brutto; szkoły specjalne przysposabiające do pracy (wiek 15-18 lat) [%]","współczynnik skolaryzacji brutto; szkoły zawodowe i ogólnozawodowe [%]","współczynnik skolaryzacji netto; szkoły podstawowe [%]","absolwenci studiów na 10 tys. ludności;[osoba]","km2","gęstość zaludnienia [osób na km2]","zmiana produktu krajowego brutto na 1 mieszkańca [%, 1 rok]","zmiana produktu krajowego brutto na 1 mieszkańca [%, 2 lata]","zmiana produktu krajowego brutto na 1 mieszkańca [%, 3 lata]","zmiana produktu krajowego brutto na 1 mieszkańca [%, 4 lata]","zmiana produktu krajowego brutto na 1 mieszkańca [%, 5 lat]","przeciętne dalsze trwanie życia; ogółem [lata]","syntetyczna_zmienna_obciazenia","syntetyczna_zmienna_obciazenia2","ludność deklarująca narodowość: angielska","ludność deklarująca narodowość: białoruska","ludność deklarująca narodowość: kaszubska","ludność deklarująca narodowość: niemiecka","ludność deklarująca narodowość: niepolska","ludność deklarująca narodowość: polska","ludność deklarująca narodowość: ukraińska","ludność deklarująca narodowość: śląska","post2005"
"1","dolnośląskie",2004,0.371900213306665,2893.06,NA,0.0426856731033458,0.0610095556427375,0.0746283772690115,0.0895330368762433,0.082434658172762,0.0687187073871738,0.0580441782129963,0.066789950415737,0.0865472657795998,0.0863810055460404,0.0635615292484934,0.0490011423910019,0.0372913753800049,0.0408046165731381,0.0925689280017145,0.0377110010006723,0.0302597081631701,0.0174047849073039,0.00719343393056821,24704,78.6,70.1,575,5396,15.4,65.1,19.5,108,18.7,99.99,17.58,NA,53.09,98.19,113,19947,145.037348974783,0.0908288073475516,0.0943577981651376,0.0996367159118431,0.10225690992245,NA,74.5134615384615,0.0872622521887894,0.657013420888206,0,0,0,0.000624931466768659,0.00453412644847985,0.978683043945308,0.000580415515594141,0.000154666076968899,0
"2","dolnośląskie",2006,0.525256633764847,2882.32,NA,0.0431923345003343,0.0558456963616424,0.0685781612501331,0.0867617961521928,0.0851800825516416,0.0754965536406995,0.0598345012016374,0.0610054341698016,0.0791845588115395,0.0874251513626017,0.0766636702347452,0.0457180802805521,0.0396136164065229,0.0384315812591051,0.0970687818168508,0.0371822391499616,0.0308380375926728,0.0201400470524234,0.00890845802179288,30030,79.1,70.3,587,5775,15.7,65.8,18.5,108,18.8,98.89,18.8,NA,45,97.08,115,19947,144.498922143681,0.120815138282387,0.131031411917098,0.142932838786594,0.14848623853211,0.156793412448535,74.8692307692308,0.104583815311426,0.643607757317631,0,0,0,0.000608483345217706,0.00445924204203084,0.978686578500999,0.000574628088355591,0.000309332153937797,1
"3","dolnośląskie",2010,0.455650334408855,2917.24,NA,0.0509752019201698,0.0468205928750512,0.058101796148554,0.0720331052411833,0.0871185866650761,0.0839549821372378,0.0719264976988539,0.0579578245479806,0.0625474335005461,0.0812695689970184,0.0840691310491211,0.0427437970521472,0.067073283601429,0.0329622979512841,0.100445900614347,0.0346498507837197,0.0300650408845067,0.0219638960360505,0.0137671129100705,42035,80.2,71.7,577,6793,16.9,65.7,17.4,108,18.4,97,19.38,NA,42.15,94.24,139,19947,146.249561337544,0.0824556433960806,0.087839135324939,0.0945016675028775,0.106626706626707,0.119508826932408,76.1134615384615,0.158027275660447,0.741620292942211,0,0,0,0.000575587102115799,0.00430947322913283,0.978693647612382,0.000563053233878492,0.000618664307875594,1
"4","dolnośląskie",2014,0.481310760761669,2908.46,0.140061895362386,0.047570928502639,0.0425497093476025,0.0486966112959552,0.0613479931111239,0.0758849107963432,0.088676917004446,0.0821562773663149,0.0678304681829575,0.056697761046493,0.064119565804136,0.0813448505513405,0.0499412575121448,0.0779533615246847,0.0547028888513738,0.100526499102445,0.0300540802219184,0.0295101491959482,0.0226976021993793,0.0182646674851992,49471,81.1,73.1,470,6525,19.7,63.5,16.8,108,22,93.22,19.11,NA,42.82,91.93,126,19947,145.809394896476,0.0476704786107582,0.0474914553356682,0.0490072280762867,0.0535506125847508,0.0579661627996807,77.2538461538462,0.240689055222285,0.984867449306297,0.000237803857903249,0.000161801428898955,1.49582050153982e-05,0.000941336016211374,0.00684869769105107,0.980814312351761,0.000989472281564612,0.000919029896942977,1
"5","dolnośląskie",2018,0.609178881851539,2901.23,0.144846401089195,0.0474933864143595,0.0477763703263277,0.0431628019198787,0.0514155227533197,0.064106713543417,0.0811567527509931,0.0881899887116649,0.0797825056657102,0.0638195934475954,0.055871226809365,0.0656043567803256,0.049576644348508,0.0782958922524106,0.0706236158863928,0.113124628389732,0.0428253582538411,0.0260110815259072,0.0228579307016864,0.0214302579082974,60481,81.3,73.2,415,6858,22.6,60.4,17,108,27.4,94.88,19.89,0.88,44.39,92.92,104,19947,145.446934376097,0.0608468392619098,0.0648932787099912,0.0665222060289944,0.0701218895918821,0.0734646336298179,77.4057692307692,0.33429038432587,1.35494146819212,0.00099007227113967,0.000673643857572772,6.22769712078995e-05,0.0021695133422832,0.0152052866886829,0.987507527109879,0.00236344676464959,0.0011999972312907,1
"6","dolnośląskie",2022,0.739718304736445,2888.03,0.14575110464458,0.0441154931401407,0.0520932413168409,0.0442713085342169,0.0450157598614697,0.0590398378411881,0.072269257311118,0.0862666735456278,0.086476851199415,0.0770936481681477,0.0597825578862845,0.0548071992252166,0.0495423701875983,0.0655179494140129,0.0712076350928123,0.132500217275911,0.0601374707283469,0.0305432798032432,0.0201400053254239,0.0216794614188965,90980,80.7,72.9,398,7503,23.9,58.8,17.4,108,31.3,98.48,32.61,1,38.78,96.9,100,19947,144.785180728932,0.185438057017772,0.2120886981402,0.218402799091523,0.235313569550768,0.24963165649337,76.95,0.367200558328299,1.55373121711013,0.00169260409180274,0.00115164557475482,0.000106467234124469,0.00331431417505636,0.022999473696199,0.993758684091721,0.00364581497837637,0.00148283991950221,1
"7","kujawsko-pomorskie",2004,0.34955625922546,2068.26,NA,0.0488807489201057,0.0691789902420298,0.0796477035263492,0.0879996596169337,0.0798353010117693,0.0696571704303815,0.0617026502496304,0.0676753093666264,0.0817523732532402,0.0769338254705167,0.0605785158331311,0.0558063839230889,0.0383192038904237,0.0384149366278288,0.0836172276379446,0.0343578992562823,0.0255026210463105,0.0151779903667724,0.00857871696857936,21502,78.7,70.6,419,3960,14.3,63.8,21.9,107,17.3,101.34,16.15,NA,51.82,99.35,88,17972,115.082350322724,0.0904204067143364,0.0934290505135192,0.096639566395664,0.101711351968055,NA,74.7869565217391,0.107455184108527,0.70398917520173,0,0,0,0.000437392790799955,0.00205111517180148,0.982188499474847,0,0,0
"8","kujawsko-pomorskie",2006,0.49451611350527,2066.37,NA,0.0487531038714732,0.0635558667828768,0.0750126671347981,0.0880659862144794,0.0809477097771891,0.0742703028642969,0.0632674384222388,0.0635519952612575,0.0764441622535353,0.0787965955774641,0.0696099587150613,0.0519253318982893,0.041326557525246,0.0372779137918602,0.0871944099099339,0.0338017713179289,0.0272124415218758,0.0166959369832426,0.00948426008688662,24231,79.3,70.6,419,4041,14.7,64.4,20.9,107,17.5,100.33,19.8,NA,47.8,98.35,94,17972,114.977186734921,0.0812583668005355,0.0846897962980188,0.0923474821238399,0.0954202473276043,0.0986991869918699,75.0971014492754,0.117165267714088,0.686434223579681,0,0,0,0.000467291710742835,0.00218357850402334,0.983645518165499,0,0,1
"9","kujawsko-pomorskie",2010,0.434945269708891,2098.71,NA,0.0546740356342536,0.05340992637862,0.0655497588758052,0.0746048407808412,0.0848663775050495,0.079595046673887,0.0716554113453448,0.0619046643392063,0.0645277029567196,0.0779021027668888,0.0747682744313057,0.0478593765411245,0.0632426284514638,0.0338031296352857,0.0916367236842043,0.0326872065758458,0.0275388083447411,0.0189306674430162,0.0124800413206011,30893,79.8,71.4,403,4538,16,64.7,19.4,106,17.5,98.36,18.88,NA,47.39,95.11,104,17972,116.776652570665,0.0383154639868249,0.0394313583065269,0.0425103479136369,0.047047170979324,0.0508701472556894,75.7223300970874,0.147055190612543,0.752937704997009,0,0,0,0.000527089550628593,0.00244850516846706,0.986559555546803,0,0,1
"10","kujawsko-pomorskie",2014,0.450199470969626,2089.99,0.151363737277463,0.0495021033573334,0.0482154955617055,0.0555576289287232,0.0678725086029037,0.0757438305983946,0.0831955337628087,0.0779696764389529,0.0686806456675432,0.0606715241015277,0.065377283740799,0.0771864198523248,0.0536461383584243,0.0694672515492882,0.0522222094630027,0.094691750016268,0.0305369589931445,0.0277024983827689,0.0206077343836723,0.0158445582566823,36058,81.1,73.4,312,3910,18.4,63.3,18.3,106,20.9,94.05,19.68,NA,44.25,92.58,95,17972,116.291453371912,0.0374313088011048,0.0382433346071313,0.0394254371344586,0.0421131000550286,0.0437266830235606,77.3621359223301,0.209186122902769,0.923625499376138,0.000265960821028965,0.000113206932901092,5.38865000609196e-05,0.000778364153934511,0.00404680447365697,0.98973175186238,0.000156451981269309,2.61885371444525e-05,1
