"powiat","glosy","uprawnieni","kod.TERYT","frekwencja","wybory","wojewodztwo"
"bolesławiecki",23428,70154,20100,0.333951022037232,"parlament_2005","dolnośląskie"
"głogowski",26419,71771,20300,0.36810132226108,"parlament_2005","dolnośląskie"
"jaworski",14419,42639,20500,0.338164591102043,"parlament_2005","dolnośląskie"
"jeleniogórski",17379,52884,20600,0.328624914908101,"parlament_2005","dolnośląskie"
"kamiennogórski",11931,37966,20700,0.314254859611231,"parlament_2005","dolnośląskie"
"legnicki",13918,41918,20900,0.332029199866406,"parlament_2005","dolnośląskie"
"lubański",16117,47287,21000,0.340833632922368,"parlament_2005","dolnośląskie"
"lubiński",32134,85891,21100,0.374125344913902,"parlament_2005","dolnośląskie"
"lwówecki",11868,38905,21200,0.305050764683203,"parlament_2005","dolnośląskie"
"polkowicki",16037,47272,21600,0.339249449991538,"parlament_2005","dolnośląskie"
"zgorzelecki",26528,77193,22500,0.343658103714067,"parlament_2005","dolnośląskie"
"złotoryjski",11846,36947,22600,0.320621430698027,"parlament_2005","dolnośląskie"
"m. Jelenia Góra",28729,71416,26101,0.402276800716926,"parlament_2005","dolnośląskie"
"m. Legnica",32479,83413,26201,0.389375756776522,"parlament_2005","dolnośląskie"
"dzierżoniowski",30925,88565,20200,0.349178569412296,"parlament_2005","dolnośląskie"
"kłodzki",48936,140578,20800,0.348105677986598,"parlament_2005","dolnośląskie"
"świdnicki",45902,131061,21900,0.350233860568743,"parlament_2005","dolnośląskie"
"wałbrzyski",51197,153797,22100,0.332886857350924,"parlament_2005","dolnośląskie"
"ząbkowicki",19206,56290,22400,0.341197370758572,"parlament_2005","dolnośląskie"
"górowski",8540,28578,20400,0.298831268808174,"parlament_2005","dolnośląskie"
"milicki",9951,28962,21300,0.343588149989642,"parlament_2005","dolnośląskie"
"oleśnicki",26362,81152,21400,0.324847200315457,"parlament_2005","dolnośląskie"
"oławski",20784,56753,21500,0.366218525892904,"parlament_2005","dolnośląskie"
"strzeliński",12303,36384,21700,0.338143139841689,"parlament_2005","dolnośląskie"
"średzki",11260,38701,21800,0.290948554300922,"parlament_2005","dolnośląskie"
"trzebnicki",19699,60370,22000,0.326304455855557,"parlament_2005","dolnośląskie"
"wołowski",13229,39569,22200,0.334327377492481,"parlament_2005","dolnośląskie"
"wrocławski",27805,77074,22300,0.360757194384617,"parlament_2005","dolnośląskie"
"m. Wrocław",237886,508364,26401,0.46794422893832,"parlament_2005","dolnośląskie"
"bydgoski",22589,71315,40300,0.316749631914744,"parlament_2005","kujawsko-pomorskie"
"inowrocławski",41008,132646,40700,0.309153687257814,"parlament_2005","kujawsko-pomorskie"
"mogileński",11085,36552,40900,0.303266579120158,"parlament_2005","kujawsko-pomorskie"
"nakielski",21128,66420,41000,0.318096958747365,"parlament_2005","kujawsko-pomorskie"
"sępoleński",9636,31815,41300,0.302876001885903,"parlament_2005","kujawsko-pomorskie"
"świecki",22860,76663,41400,0.298188174217028,"parlament_2005","kujawsko-pomorskie"
"tucholski",13514,36259,41600,0.372707465732646,"parlament_2005","kujawsko-pomorskie"
"żniński",17407,54949,41900,0.316784654861781,"parlament_2005","kujawsko-pomorskie"
"m. Bydgoszcz",125983,297074,46101,0.424079522273912,"parlament_2005","kujawsko-pomorskie"
"aleksandrowski",15823,44781,40100,0.353341819075054,"parlament_2005","kujawsko-pomorskie"
"brodnicki",20863,58300,40200,0.357855917667238,"parlament_2005","kujawsko-pomorskie"
"chełmiński",12165,40230,40400,0.302386278896346,"parlament_2005","kujawsko-pomorskie"
"golubsko-dobrzyński",10997,34321,40500,0.32041607179278,"parlament_2005","kujawsko-pomorskie"
"grudziądzki",8617,29774,40600,0.289413582320145,"parlament_2005","kujawsko-pomorskie"
"lipnowski",15051,51293,40800,0.293431852299534,"parlament_2005","kujawsko-pomorskie"
"radziejowski",10538,34344,41100,0.306836710924761,"parlament_2005","kujawsko-pomorskie"
"rypiński",9979,35083,41200,0.284439757147336,"parlament_2005","kujawsko-pomorskie"
"toruński",19901,65891,41500,0.302029108679486,"parlament_2005","kujawsko-pomorskie"
"wąbrzeski",8688,27470,41700,0.316272297051329,"parlament_2005","kujawsko-pomorskie"
"włocławski",20101,67660,41800,0.29708838309193,"parlament_2005","kujawsko-pomorskie"
"m. Grudziądz",27381,80206,46201,0.341383437648056,"parlament_2005","kujawsko-pomorskie"
"m. Toruń",69377,162616,46301,0.426630835834112,"parlament_2005","kujawsko-pomorskie"
