Entity,Code,Year,turnout_vdem_owid
Afghanistan,AFG,1969,50
Afghanistan,AFG,2004,83.66
Afghanistan,AFG,2005,49.37
Afghanistan,AFG,2009,38.8
Afghanistan,AFG,2010,45.83
Afghanistan,AFG,2014,38.9
Afghanistan,AFG,2018,45.23
Afghanistan,AFG,2019,19
Albania,ALB,1991,98.92
Albania,ALB,1992,91.5
Albania,ALB,1996,89.08
Albania,ALB,1997,72.56
Albania,ALB,2001,54.95
Albania,ALB,2005,48.73
Albania,ALB,2009,50.77
Albania,ALB,2013,53.31
Albania,ALB,2017,46.76
Albania,ALB,2021,46.32
Algeria,DZA,1963,88.9
Algeria,DZA,1964,85
Algeria,DZA,1976,99.5
Algeria,DZA,1977,75.84
Algeria,DZA,1979,99
Algeria,DZA,1982,67.34
Algeria,DZA,1984,96.28
Algeria,DZA,1987,87
Algeria,DZA,1988,89.08
Algeria,DZA,1991,59
Algeria,DZA,1995,75.69
Algeria,DZA,1997,65.6
Algeria,DZA,1999,60.91
Algeria,DZA,2002,46.17
Algeria,DZA,2004,58.07
Algeria,DZA,2007,35.51
Algeria,DZA,2009,74.56
Algeria,DZA,2012,43.14
Algeria,DZA,2014,49.42
Algeria,DZA,2017,37.09
Algeria,DZA,2019,39.88
Algeria,DZA,2021,23.03
Angola,AGO,1992,90.37
Angola,AGO,2008,87.36
Angola,AGO,2012,62.75
Angola,AGO,2017,71.59
Angola,AGO,2022,44.82
Argentina,ARG,1912,68.5
Argentina,ARG,1914,55.7
Argentina,ARG,1916,62.7
Argentina,ARG,1918,56.4
Argentina,ARG,1920,53
Argentina,ARG,1922,55.2
Argentina,ARG,1924,44.2
Argentina,ARG,1926,49.2
Argentina,ARG,1928,80.9
Argentina,ARG,1930,75.1
Argentina,ARG,1931,73.4
Argentina,ARG,1934,65.9
Argentina,ARG,1936,70.9
Argentina,ARG,1948,74.2
Argentina,ARG,1954,86
Argentina,ARG,1960,87.07
Argentina,ARG,1962,85.73
Argentina,ARG,1965,83.46
Argentina,ARG,1973,85.55
Argentina,ARG,1983,83.25
Argentina,ARG,1985,82.19
Argentina,ARG,1987,83.61
Argentina,ARG,1989,85.02
Argentina,ARG,1991,89.71
Argentina,ARG,1993,79.7
Argentina,ARG,1995,80.96
Argentina,ARG,1997,78.22
Argentina,ARG,1999,78.61
Argentina,ARG,2001,75.21
Argentina,ARG,2003,76.9
Argentina,ARG,2005,70.94
Argentina,ARG,2007,71.81
Argentina,ARG,2009,72.39
Argentina,ARG,2011,79.39
Argentina,ARG,2013,77.17
Argentina,ARG,2015,80.77
Argentina,ARG,2017,76.74
Argentina,ARG,2019,79
Argentina,ARG,2021,71.51
Armenia,ARM,1990,60.2
Armenia,ARM,1995,53.91
Armenia,ARM,1996,60.32
Armenia,ARM,1998,63.48
Armenia,ARM,1999,51.72
Armenia,ARM,2003,68.43
Armenia,ARM,2007,59.99
Armenia,ARM,2008,69.81
Armenia,ARM,2012,62.87
Armenia,ARM,2013,60.18
Armenia,ARM,2017,60.93
Armenia,ARM,2018,48.63
Armenia,ARM,2021,49.41
Australia,AUS,1856,48.51
Australia,AUS,1858,43.09
Australia,AUS,1859,52.54
Australia,AUS,1860,42.91
Australia,AUS,1864,51.4
Australia,AUS,1869,53.7
Australia,AUS,1872,48.44
Australia,AUS,1874,47.21
Australia,AUS,1877,48.31
Australia,AUS,1880,61.94
Australia,AUS,1882,56.69
Australia,AUS,1885,61.1
Australia,AUS,1887,57.84
Australia,AUS,1889,59.93
Australia,AUS,1891,64.4
Australia,AUS,1894,78.56
Australia,AUS,1895,59.92
Australia,AUS,1898,58.61
Australia,AUS,1901,60
Australia,AUS,1903,50.27
Australia,AUS,1906,51.48
Australia,AUS,1910,62.8
Australia,AUS,1913,73.49
Australia,AUS,1914,73.53
Australia,AUS,1917,78.3
Australia,AUS,1919,71.59
Australia,AUS,1922,59.36
Australia,AUS,1925,91.39
Australia,AUS,1928,93.64
Australia,AUS,1929,94.85
Australia,AUS,1931,95.04
Australia,AUS,1934,95.17
Australia,AUS,1937,96.13
Australia,AUS,1940,94.82
Australia,AUS,1943,96.32
Australia,AUS,1946,93.95
Australia,AUS,1949,95.94
Australia,AUS,1951,95.97
Australia,AUS,1954,96.05
Australia,AUS,1955,95
Australia,AUS,1958,95.44
Australia,AUS,1961,95.22
Australia,AUS,1963,95.71
Australia,AUS,1966,95.13
Australia,AUS,1969,94.97
Australia,AUS,1972,95.38
Australia,AUS,1974,95.4
Australia,AUS,1975,95.39
Australia,AUS,1977,95.08
Australia,AUS,1980,94.35
Australia,AUS,1983,94.64
Australia,AUS,1984,94.19
Australia,AUS,1987,93.84
Australia,AUS,1990,95.31
Australia,AUS,1993,95.75
Australia,AUS,1996,95.77
Australia,AUS,1998,94.99
Australia,AUS,2001,94.85
Australia,AUS,2004,94.32
Australia,AUS,2007,94.76
Australia,AUS,2010,93.22
Australia,AUS,2013,93.23
Australia,AUS,2016,91.01
Australia,AUS,2019,91.89
Australia,AUS,2022,89.74
Austria,AUT,1907,84.6
Austria,AUT,1911,80.2
Austria,AUT,1919,84.4
Austria,AUT,1920,80.3
Austria,AUT,1923,87
Austria,AUT,1927,89.3
Austria,AUT,1930,90.2
Austria,AUT,1945,94.31
Austria,AUT,1949,96.78
Austria,AUT,1951,96.89
Austria,AUT,1953,95.83
Austria,AUT,1956,95.95
Austria,AUT,1957,97.16
Austria,AUT,1959,94.21
Austria,AUT,1962,93.77
Austria,AUT,1963,95.58
Austria,AUT,1965,95.99
Austria,AUT,1966,93.8
Austria,AUT,1970,91.78
Austria,AUT,1971,95.29
Austria,AUT,1974,94.06
Austria,AUT,1975,92.9
Austria,AUT,1979,92.24
Austria,AUT,1980,91.63
Austria,AUT,1983,92.59
Austria,AUT,1986,90.46
Austria,AUT,1990,86.14
Austria,AUT,1992,84.4
Austria,AUT,1994,82.46
Austria,AUT,1995,85.98
Austria,AUT,1998,74.4
Austria,AUT,1999,80.42
Austria,AUT,2002,84.27
Austria,AUT,2004,71.6
Austria,AUT,2006,78.46
Austria,AUT,2008,78.81
Austria,AUT,2010,53.57
Austria,AUT,2013,74.91
Austria,AUT,2016,74.21
Austria,AUT,2017,80
Austria,AUT,2019,75.59
Austria,AUT,2022,63.75
Azerbaijan,AZE,1917,48.44
Azerbaijan,AZE,1991,85.7
Azerbaijan,AZE,1993,85.85
Azerbaijan,AZE,1995,86.05
Azerbaijan,AZE,1998,78.94
Azerbaijan,AZE,2000,67.99
Azerbaijan,AZE,2003,71.23
Azerbaijan,AZE,2005,40.47
Azerbaijan,AZE,2008,75.35
Azerbaijan,AZE,2010,49.76
Azerbaijan,AZE,2013,71.63
Azerbaijan,AZE,2015,55.54
Azerbaijan,AZE,2018,74.24
Azerbaijan,AZE,2020,46.84
Bahrain,BHR,1973,78.4
Bahrain,BHR,2002,53
Bahrain,BHR,2006,73.6
Bahrain,BHR,2010,67
Bahrain,BHR,2014,52.6
Bahrain,BHR,2018,65.34
Bahrain,BHR,2022,73
Bangladesh,BGD,1973,54.91
Bangladesh,BGD,1978,54.3
Bangladesh,BGD,1979,51.29
Bangladesh,BGD,1981,55.65
Bangladesh,BGD,1986,60.31
Bangladesh,BGD,1988,51.81
Bangladesh,BGD,1991,55.45
Bangladesh,BGD,1996,75.6
Bangladesh,BGD,2001,74.97
Bangladesh,BGD,2008,85.26
Bangladesh,BGD,2014,51.37
Bangladesh,BGD,2018,80
