gatunek,gleba,jakosc_powietrza,temperatura,poziom_nawodnienia,wyksztalcenie_siewki
buk,bielicowa,zla,niska,niski,powodzenie
jodla,bielicowa,zla,niska,niski,powodzenie
swierk,bielicowa,zla,niska,niski,powodzenie
sosna,bielicowa,zla,niska,niski,niepowodzenie
dab,bielicowa,zla,niska,niski,niepowodzenie
brzoza,bielicowa,zla,niska,niski,niepowodzenie
buk,plowa,zla,niska,niski,niepowodzenie
jodla,plowa,zla,niska,niski,powodzenie
swierk,plowa,zla,niska,niski,niepowodzenie
sosna,plowa,zla,niska,niski,uszkodzenie_siewki
dab,plowa,zla,niska,niski,powodzenie
brzoza,plowa,zla,niska,niski,powodzenie
buk,brunatna,zla,niska,niski,niepowodzenie
jodla,brunatna,zla,niska,niski,powodzenie
swierk,brunatna,zla,niska,niski,uszkodzenie_siewki
sosna,brunatna,zla,niska,niski,powodzenie
dab,brunatna,zla,niska,niski,niepowodzenie
brzoza,brunatna,zla,niska,niski,niepowodzenie
buk,czarnoziem,zla,niska,niski,niepowodzenie
jodla,czarnoziem,zla,niska,niski,powodzenie
swierk,czarnoziem,zla,niska,niski,niepowodzenie
sosna,czarnoziem,zla,niska,niski,powodzenie
dab,czarnoziem,zla,niska,niski,niepowodzenie
brzoza,czarnoziem,zla,niska,niski,powodzenie
buk,bielicowa,zla,niska,umiarkowany,niepowodzenie
jodla,bielicowa,zla,niska,umiarkowany,powodzenie
swierk,bielicowa,zla,niska,umiarkowany,niepowodzenie
sosna,bielicowa,zla,niska,umiarkowany,uszkodzenie_siewki
dab,bielicowa,zla,niska,umiarkowany,uszkodzenie_siewki
brzoza,bielicowa,zla,niska,umiarkowany,niepowodzenie
buk,plowa,zla,niska,umiarkowany,niepowodzenie
jodla,plowa,zla,niska,umiarkowany,niepowodzenie
swierk,plowa,zla,niska,umiarkowany,uszkodzenie_siewki
sosna,plowa,zla,niska,umiarkowany,powodzenie
dab,plowa,zla,niska,umiarkowany,powodzenie
brzoza,plowa,zla,niska,umiarkowany,powodzenie
buk,brunatna,zla,niska,umiarkowany,niepowodzenie
jodla,brunatna,zla,niska,umiarkowany,uszkodzenie_siewki
swierk,brunatna,zla,niska,umiarkowany,uszkodzenie_siewki
sosna,brunatna,zla,niska,umiarkowany,powodzenie
dab,brunatna,zla,niska,umiarkowany,niepowodzenie
brzoza,brunatna,zla,niska,umiarkowany,niepowodzenie
buk,czarnoziem,zla,niska,umiarkowany,niepowodzenie
jodla,czarnoziem,zla,niska,umiarkowany,niepowodzenie
swierk,czarnoziem,zla,niska,umiarkowany,uszkodzenie_siewki
sosna,czarnoziem,zla,niska,umiarkowany,niepowodzenie
dab,czarnoziem,zla,niska,umiarkowany,niepowodzenie
brzoza,czarnoziem,zla,niska,umiarkowany,niepowodzenie
buk,bielicowa,zla,niska,wysoki,uszkodzenie_siewki
jodla,bielicowa,zla,niska,wysoki,niepowodzenie
swierk,bielicowa,zla,niska,wysoki,niepowodzenie
sosna,bielicowa,zla,niska,wysoki,niepowodzenie
dab,bielicowa,zla,niska,wysoki,niepowodzenie
brzoza,bielicowa,zla,niska,wysoki,uszkodzenie_siewki
buk,plowa,zla,niska,wysoki,uszkodzenie_siewki
jodla,plowa,zla,niska,wysoki,niepowodzenie
swierk,plowa,zla,niska,wysoki,niepowodzenie
sosna,plowa,zla,niska,wysoki,niepowodzenie
dab,plowa,zla,niska,wysoki,niepowodzenie
brzoza,plowa,zla,niska,wysoki,niepowodzenie
buk,brunatna,zla,niska,wysoki,niepowodzenie
jodla,brunatna,zla,niska,wysoki,niepowodzenie
swierk,brunatna,zla,niska,wysoki,niepowodzenie
sosna,brunatna,zla,niska,wysoki,niepowodzenie
dab,brunatna,zla,niska,wysoki,niepowodzenie
brzoza,brunatna,zla,niska,wysoki,niepowodzenie
buk,czarnoziem,zla,niska,wysoki,niepowodzenie
jodla,czarnoziem,zla,niska,wysoki,niepowodzenie
swierk,czarnoziem,zla,niska,wysoki,niepowodzenie
sosna,czarnoziem,zla,niska,wysoki,powodzenie
dab,czarnoziem,zla,niska,wysoki,niepowodzenie
brzoza,czarnoziem,zla,niska,wysoki,powodzenie
buk,bielicowa,zla,umiarkowana,niski,niepowodzenie
jodla,bielicowa,zla,umiarkowana,niski,powodzenie
swierk,bielicowa,zla,umiarkowana,niski,powodzenie
sosna,bielicowa,zla,umiarkowana,niski,powodzenie
dab,bielicowa,zla,umiarkowana,niski,powodzenie
brzoza,bielicowa,zla,umiarkowana,niski,powodzenie
buk,plowa,zla,umiarkowana,niski,powodzenie
jodla,plowa,zla,umiarkowana,niski,niepowodzenie
swierk,plowa,zla,umiarkowana,niski,powodzenie
sosna,plowa,zla,umiarkowana,niski,uszkodzenie_siewki
dab,plowa,zla,umiarkowana,niski,uszkodzenie_siewki
brzoza,plowa,zla,umiarkowana,niski,niepowodzenie
buk,brunatna,zla,umiarkowana,niski,powodzenie
jodla,brunatna,zla,umiarkowana,niski,powodzenie
swierk,brunatna,zla,umiarkowana,niski,powodzenie
sosna,brunatna,zla,umiarkowana,niski,powodzenie
dab,brunatna,zla,umiarkowana,niski,niepowodzenie
brzoza,brunatna,zla,umiarkowana,niski,niepowodzenie
buk,czarnoziem,zla,umiarkowana,niski,powodzenie
jodla,czarnoziem,zla,umiarkowana,niski,powodzenie
swierk,czarnoziem,zla,umiarkowana,niski,powodzenie
sosna,czarnoziem,zla,umiarkowana,niski,powodzenie
dab,czarnoziem,zla,umiarkowana,niski,uszkodzenie_siewki
brzoza,czarnoziem,zla,umiarkowana,niski,niepowodzenie
buk,bielicowa,zla,umiarkowana,umiarkowany,powodzenie
jodla,bielicowa,zla,umiarkowana,umiarkowany,powodzenie
swierk,bielicowa,zla,umiarkowana,umiarkowany,powodzenie
sosna,bielicowa,zla,umiarkowana,umiarkowany,powodzenie
dab,bielicowa,zla,umiarkowana,umiarkowany,powodzenie
brzoza,bielicowa,zla,umiarkowana,umiarkowany,powodzenie
buk,plowa,zla,umiarkowana,umiarkowany,uszkodzenie_siewki
jodla,plowa,zla,umiarkowana,umiarkowany,uszkodzenie_siewki
swierk,plowa,zla,umiarkowana,umiarkowany,uszkodzenie_siewki
sosna,plowa,zla,umiarkowana,umiarkowany,uszkodzenie_siewki
dab,plowa,zla,umiarkowana,umiarkowany,uszkodzenie_siewki
brzoza,plowa,zla,umiarkowana,umiarkowany,uszkodzenie_siewki
buk,brunatna,zla,umiarkowana,umiarkowany,powodzenie
jodla,brunatna,zla,umiarkowana,umiarkowany,powodzenie
swierk,brunatna,zla,umiarkowana,umiarkowany,powodzenie
sosna,brunatna,zla,umiarkowana,umiarkowany,powodzenie
dab,brunatna,zla,umiarkowana,umiarkowany,niepowodzenie
brzoza,brunatna,zla,umiarkowana,umiarkowany,powodzenie
buk,czarnoziem,zla,umiarkowana,umiarkowany,powodzenie
jodla,czarnoziem,zla,umiarkowana,umiarkowany,powodzenie
swierk,czarnoziem,zla,umiarkowana,umiarkowany,powodzenie
sosna,czarnoziem,zla,umiarkowana,umiarkowany,powodzenie
dab,czarnoziem,zla,umiarkowana,umiarkowany,powodzenie
brzoza,czarnoziem,zla,umiarkowana,umiarkowany,powodzenie
buk,bielicowa,zla,umiarkowana,wysoki,uszkodzenie_siewki
jodla,bielicowa,zla,umiarkowana,wysoki,uszkodzenie_siewki
swierk,bielicowa,zla,umiarkowana,wysoki,powodzenie
sosna,bielicowa,zla,umiarkowana,wysoki,niepowodzenie
dab,bielicowa,zla,umiarkowana,wysoki,powodzenie
brzoza,bielicowa,zla,umiarkowana,wysoki,powodzenie
buk,plowa,zla,umiarkowana,wysoki,niepowodzenie
jodla,plowa,zla,umiarkowana,wysoki,niepowodzenie
swierk,plowa,zla,umiarkowana,wysoki,niepowodzenie
sosna,plowa,zla,umiarkowana,wysoki,niepowodzenie
dab,plowa,zla,umiarkowana,wysoki,niepowodzenie
brzoza,plowa,zla,umiarkowana,wysoki,niepowodzenie
buk,brunatna,zla,umiarkowana,wysoki,niepowodzenie
jodla,brunatna,zla,umiarkowana,wysoki,niepowodzenie
swierk,brunatna,zla,umiarkowana,wysoki,niepowodzenie
sosna,brunatna,zla,umiarkowana,wysoki,niepowodzenie
dab,brunatna,zla,umiarkowana,wysoki,powodzenie
brzoza,brunatna,zla,umiarkowana,wysoki,powodzenie
buk,czarnoziem,zla,umiarkowana,wysoki,niepowodzenie
jodla,czarnoziem,zla,umiarkowana,wysoki,niepowodzenie
swierk,czarnoziem,zla,umiarkowana,wysoki,powodzenie
sosna,czarnoziem,zla,umiarkowana,wysoki,niepowodzenie
dab,czarnoziem,zla,umiarkowana,wysoki,niepowodzenie
brzoza,czarnoziem,zla,umiarkowana,wysoki,niepowodzenie
buk,bielicowa,zla,wysoka,niski,niepowodzenie
jodla,bielicowa,zla,wysoka,niski,niepowodzenie
swierk,bielicowa,zla,wysoka,niski,niepowodzenie
sosna,bielicowa,zla,wysoka,niski,niepowodzenie
dab,bielicowa,zla,wysoka,niski,niepowodzenie
brzoza,bielicowa,zla,wysoka,niski,niepowodzenie
buk,plowa,zla,wysoka,niski,niepowodzenie
jodla,plowa,zla,wysoka,niski,niepowodzenie
swierk,plowa,zla,wysoka,niski,niepowodzenie
sosna,plowa,zla,wysoka,niski,niepowodzenie
dab,plowa,zla,wysoka,niski,powodzenie
brzoza,plowa,zla,wysoka,niski,niepowodzenie
buk,brunatna,zla,wysoka,niski,niepowodzenie
jodla,brunatna,zla,wysoka,niski,niepowodzenie
swierk,brunatna,zla,wysoka,niski,niepowodzenie
sosna,brunatna,zla,wysoka,niski,niepowodzenie
dab,brunatna,zla,wysoka,niski,powodzenie
brzoza,brunatna,zla,wysoka,niski,niepowodzenie
buk,czarnoziem,zla,wysoka,niski,niepowodzenie
