"","algorithm","population_size","combination_parameter","mutation_parameter","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","final_distance","calc_time"
"1","genetic algorithm v7","5","100","0.5","18","17","14","22","11","15","19","25","7","23","27","8","1","2","21","28","6","5","26","3","29","9","12","20","10","4","16","24","13","2299","0.952836036682129"
"2","genetic algorithm v7","5","100","0.5","12","6","2","3","29","26","5","9","28","1","21","4","15","11","7","25","19","10","20","13","24","8","27","23","16","18","17","14","22","2343","1.25038504600525"
"3","genetic algorithm v7","5","100","0.5","2","21","13","27","16","19","4","25","7","11","15","29","3","26","5","9","12","24","23","8","1","28","6","20","10","18","14","22","17","2653","0.74619197845459"
"4","genetic algorithm v7","5","100","0.5","17","18","10","20","6","12","9","29","3","26","5","21","2","13","16","23","27","8","28","1","24","4","19","15","14","22","11","7","25","2379","0.919140100479126"
"5","genetic algorithm v7","5","100","0.6","29","3","2","20","14","22","17","18","15","11","4","19","25","16","8","1","28","6","12","5","9","26","21","10","13","24","27","23","7","2316","1.22073984146118"
"6","genetic algorithm v7","5","100","0.6","13","10","20","21","3","29","2","5","26","9","12","6","28","1","24","8","27","16","19","15","4","18","14","17","22","11","25","7","23","2099","1.0133581161499"
"7","genetic algorithm v7","5","100","0.6","23","7","25","19","20","3","29","26","5","9","12","6","28","24","16","27","8","1","21","2","13","10","4","15","18","17","14","22","11","2089","1.40414214134216"
"8","genetic algorithm v7","5","100","0.6","12","6","9","29","3","26","5","21","1","28","8","24","27","23","16","18","17","14","22","11","15","4","20","2","10","13","19","25","7","2141","0.8852219581604"
"9","genetic algorithm v7","5","100","0.7","20","10","4","13","1","28","21","2","3","29","26","5","9","12","6","8","24","27","23","7","25","16","19","14","18","15","17","22","11","2215","1.56891918182373"
"10","genetic algorithm v7","5","100","0.7","14","18","9","12","8","23","27","16","24","13","21","1","28","6","5","26","29","3","2","20","10","15","4","19","25","7","11","22","17","2500","0.805339813232422"
"11","genetic algorithm v7","5","100","0.7","3","2","21","13","24","8","27","23","7","19","10","20","4","15","16","1","12","9","29","26","5","6","28","25","11","22","17","18","14","2540","0.827078104019165"
"12","genetic algorithm v7","5","100","0.7","3","29","26","9","12","6","5","4","25","7","23","27","8","28","1","21","2","20","10","19","11","15","14","18","17","22","13","16","24","2334","1.07075500488281"
"13","genetic algorithm v7","5","100","1","7","25","27","24","16","19","18","14","15","11","22","17","4","10","21","26","5","9","6","12","28","1","8","23","13","20","2","29","3","2348","0.597541093826294"
"14","genetic algorithm v7","5","100","1","12","6","9","5","10","11","22","14","17","18","15","19","20","26","29","3","28","1","24","16","13","2","21","4","25","7","23","27","8","2617","0.720273017883301"
