,start_a,start_T,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,final_distance,calc_time
1,0.99,10,9,5,21,24,23,27,16,13,25,7,19,26,29,3,18,17,22,14,11,15,4,10,20,2,1,8,28,6,12,2626,0.095098972
2,0.99,10,1,3,29,20,10,13,16,23,27,7,11,25,19,15,18,17,22,14,4,2,26,9,5,21,24,8,28,6,12,2577,0.068787813
3,0.99,10,12,6,5,2,20,18,14,16,23,7,25,19,11,10,13,24,27,8,4,15,22,17,21,1,28,9,26,29,3,2684,0.061172009
4,0.99,10,13,10,20,29,3,16,1,28,24,27,23,8,7,25,14,17,22,18,19,11,15,4,26,9,5,2,21,6,12,2808,0.072470903
5,0.99,10,21,2,26,29,3,20,19,25,7,27,24,8,23,11,22,14,13,16,15,17,18,4,10,1,28,6,12,9,5,2732,0.066972971
6,0.99,10,17,18,15,10,4,20,13,2,5,24,27,23,7,25,19,11,22,14,16,8,28,1,21,3,29,26,9,6,12,2435,0.07546401
7,0.99,10,9,26,29,3,2,13,16,23,27,8,1,21,5,28,24,15,4,10,20,17,18,14,22,11,7,25,19,6,12,2556,0.074843168
8,0.99,10,17,22,14,7,23,25,1,21,6,28,8,24,27,16,19,11,15,18,4,13,20,3,29,26,5,12,9,2,10,2723,0.087141991
9,0.99,10,28,1,21,10,15,4,16,24,8,27,23,25,7,11,22,17,19,13,12,6,9,5,26,3,29,18,14,20,2,2739,0.083515882
10,0.99,10,8,27,23,7,11,19,25,16,24,13,2,20,15,10,4,14,17,22,18,29,3,26,5,21,6,1,28,9,12,2604,0.067313194
11,0.999,10,22,17,18,14,25,7,23,27,24,8,28,1,21,4,15,10,20,3,29,26,9,12,6,5,2,13,16,19,11,2284,0.675367117
12,0.999,10,23,7,11,22,14,17,18,15,25,16,27,8,24,13,19,4,10,20,3,29,26,9,5,2,21,6,12,28,1,2228,0.609106064
13,0.999,10,3,29,26,9,5,21,2,20,10,4,18,15,19,7,25,11,22,17,14,13,16,24,27,23,8,1,28,6,12,2069,0.619096994
14,0.999,10,12,9,26,29,3,2,1,23,7,25,4,15,18,17,14,22,11,19,16,24,21,5,6,28,8,27,13,10,20,2308,0.600061893
15,0.999,10,3,29,26,9,5,21,2,20,10,4,14,22,17,18,15,11,25,7,8,28,12,6,1,24,13,19,16,27,23,2103,0.603788137
16,0.999,10,7,25,16,19,11,15,4,10,13,24,27,23,8,21,20,18,17,22,14,2,3,29,26,5,9,12,6,28,1,2265,0.627722979
17,0.999,10,23,7,25,11,22,14,17,18,15,19,13,28,6,12,9,5,21,4,10,20,2,3,29,26,1,24,8,27,16,2247,0.645393848
18,0.999,10,3,29,26,24,13,4,19,16,27,23,7,25,11,22,14,17,18,15,10,20,2,21,5,9,12,6,28,1,8,2119,0.689754009
19,0.999,10,2,21,24,27,23,7,25,16,13,10,4,15,19,11,22,14,17,18,20,3,29,26,5,9,6,1,8,28,12,2233,0.653241873
20,0.999,10,13,10,20,29,3,2,24,27,23,7,25,19,4,15,18,17,14,22,11,16,8,28,1,21,6,5,26,9,12,2292,0.625882149
21,0.9999,10,17,22,14,18,15,11,19,25,7,23,8,27,16,13,4,10,20,2,3,29,26,6,28,1,24,21,5,9,12,2073,4.895582914
22,0.9999,10,9,12,6,28,1,8,27,23,7,25,19,16,24,13,15,11,22,14,17,18,4,10,20,2,21,5,26,29,3,1953,4.330644846
23,0.9999,10,23,7,25,19,4,10,20,2,26,5,21,24,13,15,11,22,14,17,18,16,27,8,1,28,6,12,9,29,3,2199,4.322896957
24,0.9999,10,15,4,10,13,24,1,8,27,23,7,25,16,19,11,22,14,17,18,20,2,21,28,6,5,3,29,26,9,12,2172,4.238004208
25,0.9999,10,17,18,4,10,20,2,21,13,16,19,15,14,22,11,27,24,1,3,29,26,5,9,12,6,28,8,23,25,7,2270,4.342487097
26,0.9999,10,4,11,22,14,17,18,15,19,25,7,23,16,27,8,28,6,26,29,3,20,10,13,24,1,21,2,5,9,12,2184,4.347271204
27,0.9999,10,17,18,15,4,13,24,27,23,7,25,16,19,11,22,14,10,20,2,5,6,9,26,29,3,21,1,8,28,12,2266,4.141545057
28,0.9999,10,13,24,16,19,15,4,10,20,18,17,14,22,11,25,7,23,27,8,28,1,21,2,3,29,26,5,9,6,12,2000,4.317860842
29,0.9999,10,2,20,19,11,22,14,17,18,15,4,10,13,24,23,7,25,16,27,8,1,28,6,12,9,5,21,26,29,3,2065,4.222645044
30,0.9999,10,23,27,13,2,21,1,24,8,28,6,10,18,17,22,14,7,25,16,19,11,15,4,20,3,29,26,5,9,12,2439,4.062290907
31,0.99999,10,3,29,26,1,28,8,24,13,19,16,27,23,7,25,11,22,14,17,18,15,4,10,20,2,21,5,9,6,12,1987,42.11489797
32,0.99999,10,13,10,4,15,25,7,23,27,8,24,16,19,11,22,14,17,18,20,2,3,29,26,9,5,21,1,28,6,12,2071,42.29005694
33,0.99999,10,3,29,20,10,4,15,19,25,7,23,16,11,22,14,17,18,13,24,27,8,1,21,2,26,5,9,12,6,28,2177,42.17515182
34,0.99999,10,10,20,3,29,26,6,28,8,27,23,7,25,16,19,11,22,14,17,18,15,4,13,24,1,21,2,5,9,12,2162,42.116606
35,0.99999,10,3,29,26,8,23,7,25,19,15,4,10,13,24,27,16,11,22,14,17,18,20,2,21,5,9,12,6,28,1,2198,50.38073015
36,0.99999,10,12,6,9,5,26,29,3,2,20,10,19,25,7,23,16,11,22,14,17,18,15,4,13,24,27,8,28,1,21,2094,59.91817904
37,0.99999,10,9,5,26,29,3,2,20,10,13,8,27,23,7,25,11,22,14,17,18,15,4,19,16,24,21,1,28,6,12,2044,40.91739106
38,0.99999,10,17,14,22,11,25,7,23,27,8,1,24,13,16,19,15,18,4,10,20,21,2,3,29,26,5,9,12,6,28,2036,41.70534515
39,0.99999,10,17,22,14,18,15,19,16,8,28,1,21,20,10,13,24,27,23,7,25,11,4,2,3,29,26,5,9,6,12,2119,41.49806809
40,0.99999,10,23,27,8,24,13,2,21,6,12,28,1,16,19,7,25,11,22,14,17,18,15,4,10,20,5,9,26,29,3,2080,40.39713001
41,0.99,100,11,19,18,17,22,14,15,4,20,21,23,7,25,16,27,24,13,10,2,5,29,3,28,8,1,6,26,9,12,2616,0.061290979
42,0.99,100,13,4,15,18,10,20,2,3,29,21,24,19,25,7,23,16,8,27,11,22,14,17,9,12,28,1,6,5,26,2769,0.099558115
43,0.99,100,3,29,18,11,25,7,23,8,27,14,22,17,2,21,5,26,20,10,4,15,19,16,13,9,12,6,28,1,24,2800,0.101083994
44,0.99,100,19,27,24,16,13,20,10,4,15,11,25,7,23,8,28,12,6,1,21,2,5,9,26,29,3,18,14,17,22,2343,0.102391005
45,0.99,100,12,21,5,9,17,18,7,23,8,28,6,10,4,15,14,22,11,25,19,16,13,20,2,29,3,26,1,24,27,2849,0.098166227
46,0.99,100,22,14,17,18,4,15,11,7,25,16,23,1,28,21,5,6,10,20,2,29,3,26,9,12,8,27,24,13,19,2458,0.118824959
47,0.99,100,23,16,19,4,21,5,9,1,8,27,24,13,20,10,14,18,17,22,11,7,25,15,2,3,29,26,6,12,28,2575,0.11354804
48,0.99,100,22,17,18,15,14,11,7,25,19,4,10,20,2,5,9,26,29,3,21,24,1,28,12,6,13,16,27,8,23,2270,0.103377104
49,0.99,100,12,6,9,2,20,18,17,22,4,25,7,11,19,23,8,28,1,24,27,16,13,3,29,26,5,21,10,15,14,2696,0.121372938
50,0.99,100,11,19,25,7,23,24,13,2,26,9,5,12,28,6,10,17,22,14,18,15,4,8,27,16,20,29,3,21,1,2749,0.114850998
51,0.999,100,4,15,18,17,14,22,11,19,13,10,20,2,3,29,26,21,1,8,28,6,12,9,5,24,27,23,16,25,7,2141,0.72734499
52,0.999,100,12,6,28,1,24,13,2,3,29,26,9,5,21,20,10,4,15,19,25,7,23,8,27,16,11,22,14,18,17,2048,0.655845881
53,0.999,100,3,29,26,2,20,10,13,24,21,1,28,6,12,9,5,4,15,18,17,14,22,11,19,16,25,7,23,27,8,2118,0.629722834
54,0.999,100,7,25,11,19,13,10,20,4,15,14,22,17,18,16,23,27,8,24,1,28,12,6,21,2,5,9,26,29,3,2041,0.665933847
55,0.999,100,12,6,9,5,26,29,3,20,10,4,15,18,17,14,22,11,25,19,16,24,13,2,21,1,28,8,27,23,7,1999,0.869040966
56,0.999,100,12,6,28,1,8,23,27,24,16,19,15,14,22,17,18,4,13,2,21,5,9,26,29,3,20,10,11,25,7,2115,0.613322973
57,0.999,100,28,8,27,16,19,15,14,17,18,4,20,10,13,25,7,23,24,1,21,6,12,9,5,26,29,3,2,11,22,2355,0.61451602
58,0.999,100,12,6,9,26,5,21,13,1,28,8,23,27,24,16,19,11,22,14,17,18,15,10,20,3,29,2,4,25,7,2269,0.64372015
59,0.999,100,24,16,19,4,10,13,1,28,8,27,23,7,25,11,15,14,22,17,18,20,3,29,26,5,9,12,6,21,2,2198,0.634932041
60,0.999,100,3,2,21,13,19,15,4,10,20,6,12,28,1,8,23,7,25,11,22,14,17,18,16,27,24,5,9,26,29,2345,0.633075953
61,0.9999,100,28,1,8,24,13,16,27,23,7,25,11,22,14,17,18,20,2,3,29,26,5,9,12,6,21,10,4,15,19,2140,6.546573877
62,0.9999,100,2,20,10,4,15,18,17,14,22,11,19,16,24,1,28,8,27,23,7,25,13,21,6,12,9,5,26,29,3,1995,6.27331686
63,0.9999,100,1,21,13,10,20,2,3,29,26,5,9,12,6,28,8,24,27,23,7,25,16,19,4,15,18,17,14,22,11,1994,6.628746986
64,0.9999,100,23,7,25,11,15,4,10,20,2,3,29,26,21,5,9,12,6,28,1,24,8,27,16,13,19,18,14,22,17,2014,6.245878935
65,0.9999,100,3,29,2,21,5,26,9,12,6,28,1,24,8,27,23,16,19,11,22,14,17,18,15,4,10,20,13,25,7,1933,6.134238005
66,0.9999,100,23,27,8,1,28,6,12,9,26,29,3,5,21,2,20,10,4,13,24,16,25,7,19,15,18,17,14,22,11,1991,6.427408934
67,0.9999,100,3,29,26,2,21,5,9,12,6,28,1,8,24,13,16,27,23,7,25,11,22,14,17,18,15,19,4,10,20,1942,6.332364082
68,0.9999,100,3,29,26,2,13,19,25,7,11,22,14,17,18,15,4,10,20,21,1,24,16,23,27,8,28,6,12,9,5,2059,6.444196939
69,0.9999,100,5,9,12,6,28,1,24,8,27,23,16,13,21,26,29,3,2,20,10,4,15,19,25,7,11,22,14,18,17,2046,6.303117037
70,0.9999,100,13,24,27,16,19,4,10,20,21,2,3,29,26,5,9,12,6,28,1,8,23,7,25,11,15,18,14,22,17,1975,6.201915026
71,0.99999,100,7,25,19,11,22,14,17,18,15,4,10,20,13,21,2,3,29,26,5,9,12,6,28,1,24,16,27,8,23,1865,1.046541297
72,0.99999,100,17,22,14,18,15,11,25,7,23,27,8,24,13,16,19,4,10,20,2,21,1,28,6,12,9,5,26,29,3,1846,1.040624483
73,0.99999,100,12,6,21,2,20,10,13,4,15,18,17,14,22,11,19,25,7,23,8,27,16,24,1,28,9,5,26,29,3,1937,1.10058825
74,0.99999,100,23,27,8,24,13,2,21,1,28,6,12,9,5,26,29,3,20,10,4,15,18,17,14,22,11,19,16,25,7,1918,1.094058351
75,0.99999,100,13,4,10,20,21,2,3,29,26,5,9,12,6,28,1,8,23,27,24,16,19,15,18,17,14,22,11,25,7,1924,1.041124666
76,0.99999,100,23,27,16,24,8,1,28,6,12,9,5,26,29,3,2,21,20,10,13,19,4,15,18,17,14,22,11,25,7,1888,1.036299117
