,start_a,start_T,swaps,rand,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,final_distance,calc_time
1,0.999,100,1,unif,3,29,26,5,2,20,21,1,6,9,12,28,8,16,19,15,14,22,17,18,4,10,13,24,27,23,7,25,11,2151,0.672824144
2,0.999,100,1,unif,3,29,26,21,1,8,28,6,12,9,5,2,20,11,22,14,17,18,15,4,10,13,24,27,23,16,19,25,7,2048,0.687669992
3,0.999,100,1,unif,12,6,9,5,21,10,4,11,25,7,8,28,1,26,29,3,2,20,14,22,17,18,15,19,16,13,24,27,23,2365,0.684787989
4,0.999,100,1,unif,17,22,14,18,15,11,19,16,13,24,27,23,8,28,1,21,6,12,9,5,26,29,3,2,20,10,4,25,7,1986,0.681980848
5,0.999,100,1,unif,7,25,19,16,13,2,21,5,3,29,26,9,12,6,28,1,8,23,27,24,11,22,14,15,4,10,20,18,17,2163,0.652708054
6,0.999,100,1,norm,17,18,15,4,10,13,11,22,14,20,2,3,29,26,5,9,12,6,28,1,8,23,7,25,19,16,27,24,21,2214,0.705800056
7,0.999,100,1,norm,10,20,21,6,5,2,3,29,26,9,12,28,1,24,8,27,23,16,13,19,4,15,18,17,14,22,11,25,7,2099,0.754626989
8,0.999,100,1,norm,5,9,12,6,28,1,21,26,29,3,2,20,10,4,13,24,16,25,7,23,8,27,19,15,18,17,14,22,11,2097,0.725169897
9,0.999,100,1,norm,9,12,6,28,8,23,7,25,19,15,4,10,20,2,3,29,26,5,21,1,24,27,16,13,11,22,14,18,17,2069,0.728123903
10,0.999,100,1,norm,9,26,3,29,18,17,14,22,11,25,7,23,8,1,24,27,16,13,2,20,10,4,15,19,21,5,12,6,28,2383,0.728806973
11,0.999,100,2,unif,17,22,14,11,7,25,16,19,18,15,4,10,20,2,21,5,9,12,6,28,1,24,27,23,8,13,26,29,3,2178,0.788429022
12,0.999,100,2,unif,28,6,12,9,5,26,3,29,2,1,8,27,23,24,16,13,21,20,10,11,7,25,19,15,4,18,14,17,22,2227,0.770194054
13,0.999,100,2,unif,12,6,9,26,29,3,5,21,2,20,10,4,15,18,14,17,22,11,19,16,25,7,23,27,8,24,1,28,13,2064,0.863446951
14,0.999,100,2,unif,9,12,6,28,1,29,3,26,5,21,23,8,27,24,4,15,11,25,7,19,16,13,2,20,10,22,14,18,17,2445,0.729104996
15,0.999,100,2,unif,12,9,6,5,26,29,3,2,20,10,4,19,25,7,23,27,8,1,28,21,24,16,13,14,17,18,15,11,22,2211,0.749053001
16,0.999,100,2,norm,1,28,6,12,9,5,21,20,10,4,15,2,29,3,26,13,24,8,27,23,7,25,16,19,11,14,18,17,22,2265,0.786091089
17,0.999,100,2,norm,3,29,2,20,10,13,4,19,15,18,17,22,14,11,25,7,23,16,27,8,24,21,1,5,26,9,12,6,28,2139,0.773305893
18,0.999,100,2,norm,3,29,28,1,24,13,18,14,17,22,11,15,19,4,10,20,21,2,5,26,9,6,12,8,27,16,25,7,23,2294,0.781947851
19,0.999,100,2,norm,20,10,12,6,28,1,24,8,27,23,7,11,14,22,17,18,15,4,19,25,16,13,2,21,5,9,26,29,3,2158,0.785951853
20,0.999,100,2,norm,7,25,19,11,17,14,22,18,16,28,8,27,23,24,13,15,4,20,10,6,12,9,5,26,29,3,2,21,1,2376,0.75790596
21,0.999,100,3,unif,3,29,27,16,10,13,1,28,21,2,20,18,14,15,4,25,19,17,22,11,7,23,8,24,6,26,9,5,12,2816,0.838684082
22,0.999,100,3,unif,12,9,26,3,29,5,20,10,13,25,7,23,8,24,1,28,6,21,2,18,22,11,14,17,4,15,19,16,27,2481,0.830760002
23,0.999,100,3,unif,7,25,19,16,2,26,3,29,20,22,11,14,17,18,15,4,10,13,23,27,24,8,28,1,5,21,6,9,12,2500,0.852887154
24,0.999,100,3,unif,28,6,9,26,29,3,2,8,27,4,10,20,21,5,12,1,24,16,19,15,18,14,17,22,11,7,25,13,23,2539,0.838753939
25,0.999,100,3,unif,19,25,11,22,17,14,18,15,7,23,16,27,8,24,13,20,4,10,9,12,6,26,29,2,21,1,28,5,3,2468,0.806667805
26,0.999,100,3,norm,5,12,9,6,24,16,23,1,28,8,27,7,25,19,13,4,20,29,3,26,21,2,10,18,15,14,17,22,11,2603,0.977969885
27,0.999,100,3,norm,29,3,2,13,8,12,6,28,1,26,9,5,21,24,27,16,14,17,22,18,10,20,4,19,15,11,25,7,23,2576,0.887196064
28,0.999,100,3,norm,26,29,24,8,27,23,7,25,19,16,15,11,4,10,2,1,28,6,12,9,5,20,17,22,14,18,13,21,3,2640,0.942474127
29,0.999,100,3,norm,10,20,4,19,15,16,13,27,23,8,21,2,24,1,28,12,9,26,5,6,3,29,18,14,17,22,11,25,7,2618,0.886970997
30,0.999,100,3,norm,7,16,24,5,3,29,26,9,12,28,6,1,8,23,27,21,2,20,10,4,13,19,25,11,14,22,15,17,18,2513,0.864034891
31,0.999,1000,1,unif,16,19,15,18,17,14,22,11,4,10,20,21,1,24,8,27,23,7,25,13,2,3,29,26,5,9,12,6,28,2122,0.810437202
32,0.999,1000,1,unif,7,25,20,2,3,29,26,9,12,6,13,16,19,11,22,14,17,18,15,4,10,21,5,28,1,24,8,27,23,2213,0.800213099
