"","algorithm","population_size","combination_parameter","mutation_parameter","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","final_distance","calc_time"
"1","genetic algorithm v7","60","2000","0.5","3","23","11","13","21","32","39","29","2","26","4","35","45","10","24","42","5","48","25","14","34","41","16","22","1","8","9","38","31","44","6","37","19","27","17","43","30","18","7","28","36","46","33","15","40","12","20","47","11162","1.31029323339462"
"2","genetic algorithm v7","60","2000","0.5","45","35","4","26","10","48","5","29","41","28","6","37","19","27","17","43","30","46","3","34","23","11","33","36","7","18","44","31","38","9","8","1","16","22","40","15","12","20","47","21","13","14","25","39","32","24","42","2","12923","1.18495455185572"
"3","genetic algorithm v7","60","2000","0.5","45","35","4","26","10","24","42","2","29","34","41","16","38","31","36","6","37","19","27","17","43","30","28","7","18","44","46","33","15","40","9","8","1","22","3","23","11","12","20","47","21","13","14","25","39","32","48","5","10870","1.40917341709137"
"4","genetic algorithm v7","60","2000","0.5","45","35","10","24","32","39","21","47","20","36","37","19","27","17","43","30","6","28","7","18","44","31","38","9","8","1","16","22","15","46","33","12","40","11","13","25","14","23","3","41","34","48","5","29","2","42","26","4","11089","1.58194738229116"
"5","genetic algorithm v7","60","2000","0.5","17","43","27","19","37","6","30","28","7","33","21","48","5","29","2","42","45","35","4","26","10","24","32","39","25","23","3","1","38","31","44","18","36","46","15","22","16","41","34","14","13","47","20","12","11","40","9","8","12467","1.72917919953664"
"6","genetic algorithm v7","60","2000","0.5","41","16","22","3","15","43","17","27","19","37","6","30","28","7","18","36","46","40","9","1","8","38","31","44","33","20","12","11","23","34","14","25","13","47","21","32","39","48","5","24","45","35","4","26","10","42","29","2","11472","1.63288108110428"
"7","genetic algorithm v7","60","2000","0.5","45","35","10","24","42","26","4","2","29","5","48","32","39","25","14","34","41","16","22","3","23","47","21","13","11","40","9","1","8","38","33","20","12","15","46","31","44","18","7","6","37","19","27","17","43","30","28","36","10757","1.26149091323217"
"8","genetic algorithm v7","60","2000","0.5","45","35","10","47","20","33","15","12","11","3","22","16","41","34","5","48","24","42","26","4","2","29","14","25","39","32","21","13","23","40","9","1","8","38","31","46","44","18","7","36","28","6","37","19","27","17","43","30","12313","1.19461158116659"
"9","genetic algorithm v7","60","2000","0.5","45","35","4","26","10","24","42","2","29","25","13","20","6","37","19","27","17","43","30","28","36","46","33","12","15","40","23","11","47","21","32","39","48","5","14","34","41","3","22","16","1","8","9","38","31","44","18","7","11477","1.36966151396434"
"10","genetic algorithm v7","60","2000","0.5","20","12","15","33","46","36","30","43","17","27","19","37","6","28","7","18","44","31","38","8","1","9","40","25","14","34","29","2","26","4","35","45","10","24","42","5","48","39","32","21","13","47","11","23","3","22","16","41","10750","1.98154604832331"
"11","genetic algorithm v7","60","2000","0.5","45","35","4","26","10","24","42","48","5","29","2","41","34","23","20","30","43","17","27","19","37","6","28","36","7","18","44","31","46","33","15","12","3","22","16","1","8","38","9","40","11","47","13","14","25","21","39","32","11411","1.02938171625137"
"12","genetic algorithm v7","60","2000","0.5","17","43","27","19","37","6","7","18","44","31","38","46","36","28","30","20","33","15","12","3","22","16","1","8","9","40","23","25","39","32","21","47","11","13","14","34","41","29","2","10","24","45","35","4","26","42","48","5","11947","1.45444678465525"
"13","genetic algorithm v7","60","2000","0.5","45","35","4","26","10","24","42","2","29","5","48","39","32","21","13","25","14","40","33","30","43","17","27","19","37","6","28","7","18","36","46","15","12","20","47","11","23","3","34","41","16","22","1","8","9","38","31","44","10782","53.4393508434296"
"14","genetic algorithm v7","60","2000","0.5","17","43","27","19","37","18","31","38","8","1","9","40","3","22","16","41","34","14","24","45","35","10","42","39","32","21","47","20","33","36","30","6","28","7","44","46","15","12","11","23","13","25","48","5","29","2","26","4","11975","2.05681821902593"
"15","genetic algorithm v7","60","2000","0.5","17","43","27","19","37","6","30","28","7","18","36","20","33","46","44","31","38","8","1","9","40","15","12","11","23","25","13","47","21","32","39","48","5","26","4","35","45","10","24","42","2","29","34","14","3","22","16","41","10914","52.6522779464722"
"16","genetic algorithm v7","60","2000","0.5","45","35","4","26","34","41","16","22","1","8","9","40","3","14","25","23","12","15","36","6","43","17","27","19","37","30","28","7","18","44","31","38","46","33","20","47","11","13","21","39","32","24","10","42","48","5","29","2","11717","1.09278826713562"
"17","genetic algorithm v7","60","2000","0.5","45","35","4","26","42","10","24","32","25","14","11","12","15","33","20","43","17","27","19","37","6","30","28","36","7","18","44","46","31","38","8","1","9","40","22","16","41","34","3","23","13","47","21","39","48","5","29","2","10945","1.66257141431173"
"18","genetic algorithm v7","60","2000","0.5","41","16","22","3","34","29","2","4","26","42","5","48","10","35","45","24","32","39","21","13","25","14","23","11","47","20","30","43","17","27","19","37","6","28","36","7","18","44","31","38","46","33","12","15","40","9","1","8","10975","1.3661939183871"
"19","genetic algorithm v7","60","2000","0.5","45","35","4","26","42","10","24","32","39","1","8","16","22","3","41","34","14","23","11","20","43","17","27","19","37","6","30","28","36","7","18","44","31","38","9","40","15","46","33","12","47","21","13","25","48","5","29","2","11378","2.46627921660741"
"20","genetic algorithm v7","60","2000","0.5","45","35","4","26","10","24","42","2","29","5","48","32","39","41","16","22","14","25","13","21","47","12","15","46","33","20","11","23","34","3","40","1","8","9","38","31","44","18","7","36","28","30","6","37","19","27","43","17","11080","1.14129544893901"
"21","genetic algorithm v7","70","2500","0.5","45","35","4","26","10","24","42","2","29","5","48","21","47","46","33","20","30","43","17","27","19","37","6","28","36","7","18","44","31","38","9","8","1","3","34","41","16","22","40","15","12","11","23","13","14","25","39","32","10894","1.39143900076548"
"22","genetic algorithm v7","70","2500","0.5","17","43","27","19","37","6","30","12","25","24","26","4","35","45","10","42","2","29","5","48","39","32","21","47","20","33","36","28","7","18","44","31","46","15","40","9","38","8","1","16","22","3","41","34","14","23","11","13","12081","1.76525849898656"
"23","genetic algorithm v7","70","2500","0.5","17","43","27","19","37","6","30","28","36","7","18","44","31","20","47","21","11","12","33","46","15","40","9","38","8","1","16","22","3","23","13","25","14","34","41","29","5","48","39","32","24","45","35","4","26","10","42","2","10811","2.47995448112488"
"24","genetic algorithm v7","70","2500","0.5","41","34","29","2","26","4","35","45","10","24","42","5","48","39","32","21","11","23","14","25","13","47","20","33","12","15","40","3","22","16","1","8","9","38","31","46","44","18","7","36","28","30","6","37","19","27","43","17","10446","1.74622723261515"
"25","genetic algorithm v7","70","2500","0.5","17","43","27","19","37","6","30","28","36","7","18","44","31","46","33","20","12","15","40","9","38","8","1","22","16","41","34","3","23","14","25","13","11","47","21","32","39","42","26","4","2","29","5","48","24","10","35","45","10492","1.8417195836703"
"26","genetic algorithm v7","70","2500","0.5","4","26","42","30","43","17","27","19","37","6","28","7","18","36","47","21","39","32","45","35","10","24","48","5","14","23","12","15","40","3","34","41","16","22","1","8","9","38","31","44","46","33","20","11","13","25","29","2","13603","1.60115361611048"
"27","genetic algorithm v7","70","2500","0.5","20","47","25","14","34","41","3","22","16","1","8","9","38","31","44","18","7","28","6","37","19","17","43","27","30","36","46","33","15","40","12","11","23","13","21","32","39","48","5","29","2","4","26","42","24","10","35","45","10478","1.59962640206019"
"28","genetic algorithm v7","70","2500","0.5","38","9","8","1","16","41","34","14","25","33","46","31","44","7","30","43","17","27","37","19","6","28","18","36","20","12","15","40","22","3","23","11","47","13","21","32","24","45","35","4","26","10","42","2","29","5","48","39","11688","1.41482329765956"
"29","genetic algorithm v7","70","2500","0.5","17","43","27","19","37","6","30","28","36","7","18","44","31","42","10","45","35","4","26","2","29","5","48","24","32","39","21","47","20","33","46","15","40","12","11","23","13","25","14","34","41","3","22","16","1","9","38","8","11995","2.37441904942195"
"30","genetic algorithm v7","70","2500","0.5","45","35","4","26","42","10","24","43","17","27","9","8","1","3","34","41","16","22","40","15","46","6","37","19","30","28","31","38","44","18","7","36","33","12","20","47","21","13","11","23","14","25","39","32","48","5","29","2","13397","1.35908651749293"
"31","genetic algorithm v7","70","2500","0.5","45","35","4","26","10","24","32","39","48","5","42","2","29","3","43","17","27","19","37","6","30","28","36","7","18","44","31","46","33","20","12","15","40","23","11","47","21","13","25","14","34","41","16","22","1","8","9","38","11508","3.06475160121918"
"32","genetic algorithm v7","70","2500","0.5","17","43","27","19","37","6","30","28","36","7","18","44","46","12","11","47","20","33","31","38","15","40","9","8","1","22","3","23","14","25","13","21","32","39","48","5","42","24","10","45","35","4","26","2","29","34","41","16","10870","1.48492479721705"
"33","genetic algorithm v7","70","2500","0.5","35","45","24","32","39","47","30","43","17","27","19","37","6","28","7","18","36","12","11","29","2","4","26","10","42","5","48","25","23","40","1","8","9","38","31","44","46","15","33","20","21","13","14","34","41","16","22","3","12758","2.86383062998454"
"34","genetic algorithm v7","70","2500","0.5","41","16","22","3","34","48","5","29","2","42","26","4","35","45","10","24","32","39","25","14","23","13","21","47","11","12","20","33","15","40","9","1","8","38","31","46","44","18","7","36","28","30","6","37","19","27","43","17","10422","2.03901605208715"
"35","genetic algorithm v7","70","2500","0.5","45","35","4","26","2","29","14","23","43","17","27","19","37","6","30","28","36","7","18","44","31","38","40","22","16","3","41","34","25","13","32","24","10","42","5","48","39","21","47","20","11","12","15","33","46","9","1","8","12261","1.45342959960302"
"36","genetic algorithm v7","70","2500","0.5","17","19","37","20","47","21","24","10","45","35","4","26","42","5","48","32","39","25","14","13","23","11","9","38","31","44","18","7","28","30","43","27","6","36","46","33","12","15","40","1","8","16","22","3","34","41","29","2","11940","1.16916418075562"
