,start_a,start_T,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,final_distance,calc_time
1,0.9999,10000,18,7,28,6,37,19,27,17,43,30,36,44,31,38,40,3,23,11,12,20,33,46,15,9,8,1,22,16,41,34,14,25,13,47,21,32,39,48,5,29,2,42,24,10,45,35,26,4,10402,11.97408581
2,0.9999,10000,17,43,27,19,37,6,30,28,36,7,18,44,46,33,40,3,22,16,41,34,25,48,5,42,24,10,45,35,4,26,2,29,39,32,21,13,14,23,11,47,20,12,15,9,1,8,38,31,11148,11.9547379
3,0.9999,10000,17,43,27,19,37,6,30,28,7,46,15,40,1,16,22,3,23,14,25,5,48,39,32,24,10,45,35,4,26,42,2,29,41,34,13,21,47,11,12,20,33,36,18,44,31,38,9,8,11206,12.02438021
4,0.9999,10000,31,44,18,7,28,6,37,19,27,17,43,30,36,46,33,15,12,11,20,47,21,13,34,41,2,29,5,39,32,24,45,35,4,26,10,42,48,25,14,23,3,40,9,38,8,1,22,16,11557,13.14300394
5,0.9999,10000,25,14,23,40,9,1,8,38,31,44,18,7,6,37,19,27,17,43,30,28,36,46,33,20,47,21,13,11,12,15,22,16,3,34,26,4,35,45,10,24,32,39,48,5,42,2,29,41,11831,13.14857006
6,0.9999,10000,17,27,43,30,36,33,12,15,46,6,19,37,28,7,18,44,31,38,8,1,9,40,11,23,14,25,48,5,34,3,22,16,41,29,2,42,26,4,35,45,10,24,32,39,21,13,47,20,11594,13.20343494
7,0.9999,10000,2,26,4,35,45,10,24,42,29,41,34,5,48,39,32,21,47,20,12,33,46,31,44,18,36,15,40,11,13,25,14,23,3,22,16,1,8,9,38,7,28,30,6,37,19,27,43,17,11270,13.32921505
8,0.9999,10000,29,5,48,25,14,13,39,32,24,42,10,45,35,4,26,2,34,3,23,11,15,46,37,19,27,17,43,20,21,47,12,33,36,30,6,28,7,18,44,31,38,8,1,9,40,22,16,41,12404,13.16487908
9,0.9999,10000,2,29,42,10,26,4,35,45,24,32,39,34,41,3,22,16,1,40,15,33,12,11,23,14,5,48,25,13,21,47,20,46,18,7,28,30,43,17,27,19,37,6,36,44,31,38,9,8,11377,13.07479692
10,0.9999,10000,17,43,30,36,46,15,40,29,2,26,4,35,45,10,24,42,5,48,39,32,21,47,13,25,14,23,11,12,33,20,27,19,37,6,28,7,18,44,31,38,9,8,1,16,22,3,34,41,11471,13.08867812
