,start_a,start_T,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,final_distance,calc_time
1,0.99999,10000,73,72,71,64,63,62,61,57,65,66,50,49,51,56,55,52,53,54,42,43,19,20,5,7,8,2,75,76,1,23,22,21,26,27,28,29,30,31,32,33,34,58,59,60,41,40,39,38,35,36,37,18,17,16,15,74,14,13,12,11,10,9,6,3,4,25,24,46,45,44,48,47,69,68,67,70,112171.6198,4.778678616
2,0.99999,10000,73,72,71,64,63,57,56,65,66,51,50,49,52,53,34,32,33,43,42,54,55,58,62,61,59,60,41,40,39,38,35,36,37,18,17,16,15,74,14,13,12,11,10,9,8,7,6,5,20,19,31,30,29,28,26,27,44,48,68,67,70,69,47,45,46,24,25,21,22,23,4,3,2,1,75,76,111550.0691,5.498009916
3,0.99999,10000,73,72,71,64,63,62,61,41,60,59,58,57,56,65,66,51,55,40,39,38,34,33,32,35,36,37,18,17,16,15,11,12,9,10,5,20,19,31,28,43,42,54,53,52,49,50,67,70,68,69,47,48,44,45,46,27,26,29,30,21,25,24,22,23,1,76,75,2,3,4,6,7,8,13,14,74,113119.0419,4.975131468
4,0.99999,10000,62,61,58,59,60,41,40,34,39,38,36,35,32,33,28,29,30,31,19,20,5,10,11,17,18,37,16,15,74,14,13,12,9,8,7,6,3,4,26,27,43,42,54,53,52,51,66,50,49,48,44,45,46,24,22,23,1,76,75,2,21,25,47,69,68,70,67,65,56,55,57,63,64,71,72,73,117172.7064,7.260295236
5,0.99999,10000,70,67,68,69,49,50,66,51,56,55,33,32,34,35,36,16,15,74,14,13,12,11,17,18,37,38,39,40,41,60,59,58,61,62,57,63,64,73,72,71,65,31,19,20,5,10,9,8,7,6,3,4,25,21,2,75,76,1,23,22,24,46,45,47,48,44,27,26,30,29,28,43,42,54,53,52,121990.1696,2.939310416
6,0.99999,10000,70,67,68,69,47,46,45,44,48,49,50,52,51,66,65,56,55,58,57,71,72,73,64,63,62,61,59,60,41,40,34,32,27,26,24,25,21,22,23,1,76,75,2,3,4,10,9,8,7,6,5,20,19,31,30,29,28,43,53,54,42,33,35,39,38,36,37,18,17,11,12,16,15,13,14,74,108953.0638,2.635022465
7,0.99999,10000,74,14,13,12,9,5,10,11,15,16,17,18,37,36,35,38,39,40,41,60,59,58,57,56,55,50,49,48,44,45,46,26,4,3,7,8,6,20,19,31,30,29,28,33,32,34,61,62,63,64,73,72,71,65,66,51,52,53,54,42,43,27,2,75,76,1,23,22,21,25,24,47,69,68,67,70,118762.4238,2.692922235
8,0.99999,10000,38,39,53,52,50,49,44,48,67,70,68,69,47,45,46,24,23,22,21,25,27,26,20,5,6,8,7,3,4,2,1,76,75,74,14,13,15,16,11,31,30,29,28,43,42,54,33,35,36,37,18,17,12,9,10,19,32,34,40,41,60,59,58,55,51,66,65,56,57,61,62,63,64,71,72,73,130797.4808,2.748689898
9,0.99999,10000,73,72,71,64,63,58,34,35,32,33,28,29,26,27,47,69,68,70,67,50,66,65,51,52,55,56,57,62,61,59,60,41,40,39,38,36,37,18,17,16,15,74,14,13,12,11,10,9,8,7,6,5,20,19,31,30,43,42,54,53,49,48,44,45,46,24,25,21,22,23,1,76,75,2,3,4,113084.1745,2.688517384
10,0.99999,10000,65,66,51,56,55,58,59,60,41,40,34,35,32,29,33,57,71,72,73,64,63,62,61,39,38,36,37,18,17,16,15,11,10,19,31,30,20,5,6,7,8,74,14,13,12,9,4,3,2,75,76,1,23,22,21,25,24,46,45,44,49,50,52,53,54,42,43,28,26,27,48,47,69,68,67,70,117687.0286,2.720400401
11,0.99999,10000,70,67,50,49,51,56,55,52,53,54,42,33,32,34,35,36,37,18,38,39,40,41,60,59,61,62,63,64,73,72,71,65,66,57,58,43,28,27,26,29,30,31,19,20,6,7,8,74,14,13,15,16,17,11,12,9,10,5,4,3,2,75,76,1,23,22,21,25,24,46,45,44,48,47,69,68,110550.7379,2.680703934
12,0.99999,10000,58,55,56,51,50,49,48,44,45,46,25,21,4,3,5,10,9,6,7,8,2,75,76,1,23,22,24,47,69,68,70,67,65,66,52,53,54,42,43,32,35,36,37,18,20,19,31,30,29,26,27,28,33,34,40,41,60,59,57,71,72,73,64,63,62,61,39,38,17,11,12,16,15,13,14,74,123223.9743,2.70345277
13,0.99999,10000,6,5,20,19,31,30,29,32,11,17,18,37,36,38,39,35,33,26,21,22,23,1,2,76,75,74,14,13,15,16,12,10,9,8,7,3,4,25,24,46,45,44,27,28,43,42,34,40,41,60,59,61,62,63,64,73,72,71,65,66,68,69,47,48,49,52,53,54,55,58,57,56,51,50,67,70,128427.2673,2.710664499
14,0.99999,10000,76,75,2,1,23,22,21,25,24,46,45,44,49,50,52,55,34,33,32,29,30,4,3,6,7,8,11,17,18,38,39,40,41,60,61,62,63,64,73,72,71,56,57,58,59,35,36,37,16,15,74,14,13,12,9,10,5,20,19,31,26,27,28,43,42,54,53,51,66,65,67,70,68,69,47,48,120262.463,2.705034137
15,0.99999,10000,70,67,68,69,47,48,28,33,32,35,36,37,17,18,38,39,34,40,58,57,55,56,51,50,49,44,45,46,24,26,29,30,31,19,20,10,12,13,14,74,15,16,11,9,6,5,4,3,7,8,2,75,76,1,23,22,21,25,27,43,42,54,53,52,66,65,71,72,73,64,63,62,61,59,60,41,118822.64,2.69796507
16,0.99999,10000,42,54,53,52,51,50,49,48,44,45,46,47,69,68,70,67,66,65,71,72,73,64,63,57,62,61,60,41,40,34,35,32,33,28,43,55,56,58,59,39,38,36,37,18,17,16,15,11,9,10,5,26,27,29,30,31,19,20,4,21,25,24,22,23,1,76,75,2,3,6,7,8,12,13,14,74,117736.9056,2.70459005
17,0.99999,10000,62,61,59,60,41,40,39,38,36,37,18,17,16,15,74,14,13,35,34,54,53,49,50,52,55,58,57,63,64,73,72,71,56,51,66,65,67,70,68,69,47,48,44,45,46,24,22,23,1,76,75,2,3,4,6,7,8,9,10,12,11,32,33,29,28,42,43,27,26,30,31,19,20,5,21,25,122500.9706,2.69674075
18,0.99999,10000,70,67,68,69,50,51,55,56,66,65,71,72,73,64,63,62,61,57,58,59,60,41,40,28,29,26,27,43,42,54,53,52,49,47,48,44,45,46,24,25,21,22,23,1,2,3,4,30,31,19,20,5,10,11,17,38,39,34,33,32,35,36,37,18,16,15,74,14,13,12,9,6,7,8,75,76,114416.089,2.716716015
19,0.99999,10000,74,14,13,15,16,11,12,9,8,7,6,5,10,17,18,37,36,35,32,33,42,43,28,27,26,29,30,31,19,20,4,3,25,21,2,75,76,1,23,22,24,46,45,44,48,47,69,68,70,67,51,56,55,58,57,63,64,62,61,59,60,41,40,39,38,34,54,53,52,49,50,66,65,71,72,73,112176.2881,2.713759482
20,0.99999,10000,50,49,55,56,73,72,71,65,66,51,52,53,54,42,43,27,44,48,67,70,68,69,47,45,46,24,25,21,22,23,1,76,75,2,3,4,5,6,7,8,9,10,11,12,13,14,74,15,16,17,18,37,20,19,31,30,29,26,28,33,32,34,35,36,38,39,40,41,60,59,58,57,63,64,62,61,116174.1307,2.709577986
21,0.9999,10000,74,14,13,11,29,27,48,49,50,66,51,56,57,63,65,67,70,68,69,47,44,45,46,24,25,4,2,75,76,1,23,22,21,26,28,43,42,54,53,52,55,58,62,61,59,60,41,40,34,35,39,38,36,37,18,17,16,15,12,9,8,7,3,6,10,5,20,19,31,30,32,33,64,71,72,73,128534.678,13.98006606
22,0.9999,10000,73,72,71,64,63,58,59,60,40,34,32,33,42,54,53,43,28,19,20,10,9,6,7,8,12,11,17,18,38,39,41,61,62,57,56,55,27,26,24,46,45,67,70,68,69,47,44,48,49,50,66,65,51,52,25,21,22,23,1,76,75,2,3,4,5,37,36,35,29,30,31,16,15,13,14,74,135016.214,14.01379609
23,0.9999,10000,76,75,2,1,23,22,4,3,6,9,12,13,14,74,15,16,18,37,36,35,32,33,28,55,56,58,57,63,64,62,61,59,60,41,40,34,39,38,17,11,10,8,7,5,20,19,31,30,45,46,24,21,25,26,29,27,44,48,47,69,68,70,67,50,49,43,42,54,53,52,51,66,65,71,72,73,119781.7275,14.4939599
