"","Calories","Protein","Fat","Sat.Fat","Carbs"
"Salt pork",783.333333333333,5,91.6666666666667,0,0
"Bacon",593.75,25,50,43.75,6.25
"Beef",288.235294117647,27.0588235294118,18.8235294117647,17.6470588235294,0
"Hamburger",288.235294117647,24.7058823529412,20,17.6470588235294,0
"Ground lean",217.647058823529,28.2352941176471,11.7647058823529,10.5882352941176,0
"Roast beef",458.823529411765,18.8235294117647,42.3529411764706,41.1764705882353,0
"Steak",388.235294117647,23.5294117647059,31.7647058823529,29.4117647058824,0
"Steak, lean, as round",258.823529411765,28.2352941176471,14.1176470588235,12.9411764705882,0
"Corned beef",217.647058823529,25.8823529411765,11.7647058823529,10.5882352941176,0
"Corned beef hash canned",141.176470588235,14.1176470588235,9.41176470588235,8.23529411764706,7.05882352941176
"Corned beef hash Dried",205.357142857143,33.9285714285714,7.14285714285714,7.14285714285714,0
"Pot-pie",211.453744493392,7.9295154185022,12.3348017621145,11.0132158590308,14.0969162995595
"Corned beef hash Stew",78.7234042553192,6.38297872340426,4.25531914893617,3.82978723404255,6.38297872340426
"chicken",217.647058823529,27.0588235294118,10.5882352941176,8.23529411764706,0
"chicken, fried",288.235294117647,29.4117647058824,17.6470588235294,12.9411764705882,0
"Roasted chicken",290,25,20,16,0
"Chicken livers, fried",140,22,14,12,2.3
"Duck, domestic",370,16,28,0,0
"Lamb, chop, broiled",417.391304347826,20.8695652173913,30.4347826086957,28.695652173913,0
"Leg roasted",365.116279069767,23.2558139534884,16.2790697674419,16.2790697674419,0
"Shoulder, braised",335.294117647059,21.1764705882353,27.0588235294118,24.7058823529412,0
"Pork, chop, 1 thick",260,16,21,18,0
"Ham pan-broiled",341.176470588235,18.8235294117647,25.8823529411765,22.3529411764706,0
"Ham, as ",298.245614035088,22.8070175438596,22.8070175438596,19.2982456140351,0
"Ham, canned, spiced",289.473684210526,14.0350877192982,24.5614035087719,21.0526315789474,1.75438596491228
"Pork roast",364.705882352941,24.7058823529412,28.2352941176471,24.7058823529412,0
"Pork sausage",475,18,44,40,0
"Turkey",265,27,15,0,0
"Veal",217.647058823529,27.0588235294118,10.5882352941176,9.41176470588235,0
"Roast",358.823529411765,15.2941176470588,16.4705882352941,15.2941176470588,0
"Clams",102.352941176471,14.1176470588235,1.17647058823529,0,2.35294117647059
"Cod",170,28,5,0,0
"Crab meat",105.882352941176,16.4705882352941,2.35294117647059,0,1.17647058823529
"Fish sticks fried",178.571428571429,16.9642857142857,8.92857142857143,4.46428571428571,7.14285714285714
"Flounder",200,30,8,0,0
"Haddock",158.823529411765,18.8235294117647,5.88235294117647,4.70588235294118,7.05882352941176
"Halibut",182,26,8,0,0
"Herring",211,22,13,0,0
"Lobster",92,18,1,0,0
"Mackerel",182.352941176471,21.1764705882353,10.5882352941176,0,0
"Oyster stew",147.058823529412,22.3529411764706,7.05882352941176,1.17647058823529,0
"Salmon",141.176470588235,20,5.88235294117647,1.17647058823529,0
"Sardines",211.764705882353,25.8823529411765,10.5882352941176,4.70588235294118,0
"Scallops",104,18,8,0,10
"Shad",200,23.5294117647059,11.7647058823529,0,0
"Shrimp",129.411764705882,27.0588235294118,1.17647058823529,0,0
"Swordfish",180,27,6,0,0
"Tuna",200,29.4117647058824,8.23529411764706,3.52941176470588,0
